gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,CLV,AvgMonthlySpend,ServiceCount,ContractRiskScore,ElectronicCheckFlag,TenureGroup,HighSpendFlag,Cluster,RiskSegment
1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0,0,98.5,48.5,2,3,0,3,0,1,Medium Risk
0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15,1,161.3,72.075,2,3,1,3,1,2,High Risk
1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8,0,4147.0,81.11153846153846,6,1,0,1,1,0,Low Risk
0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1,0,4426.35,61.6536231884058,5,1,0,1,0,0,Low Risk
0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75,0,3880.75,89.27325581395348,4,3,1,2,1,2,High Risk
0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4,1,1486.5,95.09333333333332,5,3,0,0,1,2,High Risk
0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65,0,1737.5,70.10600000000001,5,3,0,2,1,2,High Risk
0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3,1,645.2,79.1625,3,3,0,3,1,2,High Risk
0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35,0,4491.0,74.27250000000001,6,2,0,1,1,0,Low Risk
1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55,1,1718.1,97.36388888888888,4,3,1,0,1,2,High Risk
0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2,0,6277.950000000001,100.17777777777778,5,2,0,1,1,0,Low Risk
1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35,0,7157.7,107.21742424242424,7,2,1,1,1,0,Low Risk
0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3,0,848.3,26.302941176470583,2,1,0,2,0,1,Medium Risk
0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7,0,7740.0,109.07916666666668,6,1,0,1,1,0,Low Risk
0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1,0,4723.5,100.15106382978723,5,3,1,2,1,0,Low Risk
1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7,0,5394.0,90.845,4,3,0,1,1,0,Low Risk
1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0,0,3031.2000000000003,41.138888888888886,3,1,0,1,0,1,Medium Risk
0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1,0,979.2,53.172222222222224,3,2,0,0,0,1,Medium Risk
0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25,1,849.6,95.25,4,3,1,3,1,2,High Risk
0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1,0,225.9,81.36666666666666,5,3,1,3,1,2,High Risk
1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35,0,3708.3,77.66702127659575,3,2,1,2,1,2,High Risk
0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2,0,2455.2000000000003,80.55483870967741,6,1,0,2,1,0,Low Risk
0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9,0,1007.5,18.618,1,1,0,1,0,1,Medium Risk
1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35,0,798.5,88.735,3,3,0,3,1,2,High Risk
1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05,0,49.05,49.05,2,3,0,3,0,1,Medium Risk
0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65,0,1060.8,20.974038461538463,1,2,1,1,0,1,Medium Risk
1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0,0,7142.4,110.921875,7,1,0,1,1,0,Low Risk
1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6,0,1503.5,22.97741935483871,2,1,0,1,0,1,Medium Risk
0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4,0,193.5,59.13333333333333,4,3,0,3,0,1,Medium Risk
0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5,0,6188.0,109.63392857142856,7,2,1,1,1,0,Low Risk
0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85,0,2559.9,58.45326086956521,2,2,0,2,0,1,Medium Risk
0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25,0,437.2,60.28125,3,3,0,3,0,1,Medium Risk
1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3,0,2242.5,70.37666666666668,5,3,1,2,1,2,High Risk
0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6,0,1165.5,27.035555555555558,2,2,0,2,0,1,Medium Risk
0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35,1,79.35,79.35,2,3,1,3,1,2,High Risk
0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35,0,556.05,51.39545454545455,3,3,1,3,0,1,Medium Risk
0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9,1,526.0500000000001,70.98571428571428,2,3,0,3,1,2,High Risk
0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5,0,4359.599999999999,103.03571428571428,6,3,0,2,1,0,Low Risk
0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35,0,987.35,19.864285714285717,1,1,0,1,0,1,Medium Risk
1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75,0,893.6999999999999,102.08333333333331,5,3,0,3,1,2,High Risk
0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45,0,2175.25,63.29857142857142,3,2,0,2,0,1,Medium Risk
0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0,0,991.2,22.02083333333333,1,1,0,2,0,1,Medium Risk
0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1,0,917.7,20.15434782608696,1,1,0,2,0,1,Medium Risk
1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25,0,978.75,34.80172413793103,1,3,0,2,0,1,Medium Risk
1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2,0,2461.5,85.67333333333333,3,3,0,2,1,2,High Risk
1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7,0,74.7,74.7,2,3,1,3,1,2,High Risk
1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25,0,5544.0,86.57954545454545,7,1,0,1,1,0,Low Risk
0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0,0,7218.25,109.33846153846154,7,3,0,1,1,0,Low Risk
1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05,0,7264.8,103.59791666666666,6,1,0,1,1,0,Low Risk
0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35,1,947.4,77.27916666666667,3,3,1,3,1,2,High Risk
1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7,0,4746.349999999999,66.8830985915493,5,2,0,1,1,0,Low Risk
1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85,1,105.25,22.77,1,3,0,3,0,1,Medium Risk
1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2,0,1092.0,21.29230769230769,1,1,0,1,0,1,Medium Risk
0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5,1,2462.5,100.58,5,3,1,2,1,2,High Risk
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2,0,20.2,20.2,1,3,0,3,0,1,Medium Risk
0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45,0,19.45,19.45,1,3,1,3,0,1,Medium Risk
1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0,3610.0,94.88421052631578,5,2,0,2,1,0,Low Risk
0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25,0,3006.3,45.86742424242424,3,2,0,1,0,1,Medium Risk
1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85,1,7480.0,111.93897058823528,7,1,0,1,1,0,Low Risk
1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2,0,121.5,20.04,0,3,0,3,0,1,Medium Risk
0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05,0,7498.8,101.43125,6,2,1,1,1,0,Low Risk
0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65,0,964.8,28.9890625,1,2,0,2,0,1,Medium Risk
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,0,4057.05,91.19302325581396,4,2,0,2,1,0,Low Risk
1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25,0,1396.8,18.93402777777778,1,1,0,1,0,1,Medium Risk
1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9,1,5321.25,95.25272727272728,5,3,1,1,1,0,Low Risk
0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25,0,3013.4,58.50480769230769,4,2,0,1,0,1,Medium Risk
0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1,0,3940.95,91.95581395348836,4,3,1,2,1,2,High Risk
0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15,1,2830.5,77.51756756756757,2,3,1,2,1,2,High Risk
0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5,0,3494.4,53.4921875,4,1,1,1,0,1,Medium Risk
1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,0,269.54999999999995,82.8,4,3,1,3,1,2,High Risk
0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35,0,1117.8,31.2875,1,1,0,2,0,1,Medium Risk
0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65,1,1002.5,106.465,5,3,1,3,1,2,High Risk
0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15,0,846.65,20.36951219512195,1,1,0,2,0,1,Medium Risk
1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6,0,2300.4,79.68888888888888,4,3,0,2,1,2,High Risk
0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45,0,5588.8,98.49017857142856,5,2,0,1,1,0,Low Risk
0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75,0,124.2,18.791666666666668,1,3,0,3,0,1,Medium Risk
1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55,1,223.2,76.51666666666667,2,3,1,3,1,2,High Risk
0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35,0,354.90000000000003,50.05,2,3,0,3,0,1,Medium Risk
0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9,0,83.4,15.725,1,3,0,3,0,1,Medium Risk
1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65,0,2935.35,91.7469696969697,4,1,1,2,1,2,High Risk
0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5,1,2107.35,79.0925925925926,3,3,1,2,1,2,High Risk
1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95,0,1695.6,23.94375,2,1,0,1,0,1,Medium Risk
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75,0,19.75,19.75,1,3,0,3,0,1,Medium Risk
1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35,0,4007.95,56.131690140845066,4,2,1,1,0,0,Low Risk
0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1215.65,0,1117.35,93.51153846153846,3,3,1,0,1,2,High Risk
0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65,1,1465.0,60.106,5,3,0,2,0,1,Medium Risk
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,0,3386.85,48.65820895522388,2,1,0,1,0,1,Medium Risk
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45,1,35.45,35.45,1,3,1,3,0,1,Medium Risk
1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25,1,88.7,40.625,1,3,1,3,0,1,Medium Risk
0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,1188.2,0,1105.1,27.632558139534886,2,1,0,2,0,1,Medium Risk
0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1778.5,0,1725.0,77.32608695652173,2,3,0,0,1,2,High Risk
0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,1277.75,0,1292.8,19.96484375,1,1,0,1,0,1,Medium Risk
1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,1170.55,0,1117.2,20.5359649122807,1,1,0,1,0,1,Medium Risk
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1,70.45,70.45,1,3,0,3,1,2,High Risk
0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6425.65,0,6339.599999999999,89.24513888888889,8,1,0,1,1,0,Low Risk
0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65,1,569.2,70.45625,5,3,1,3,1,2,High Risk
0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5971.25,0,6164.05,97.88934426229508,5,1,0,1,1,0,Low Risk
1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5289.05,0,5395.2,82.64140625,4,2,0,1,1,0,Low Risk
1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2,0,1700.45,24.735211267605635,2,1,0,1,0,1,Medium Risk
0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6416.7,0,6438.25,98.71846153846154,6,1,0,1,1,0,Low Risk
1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,61.35,0,58.8,20.45,1,2,0,3,0,1,Medium Risk
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1,45.65,45.65,1,3,1,3,0,1,Medium Risk
1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1929.95,0,1935.0,64.33166666666666,4,2,0,2,0,1,Medium Risk
1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1071.4,0,1042.5,71.42666666666668,5,3,0,0,1,2,High Risk
0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,564.35,0,548.4,70.54375,4,3,1,3,1,2,High Risk
1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5,1,665.0,93.64285714285714,4,3,0,3,1,2,High Risk
0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,7930.55,0,7570.5,113.29357142857144,7,2,0,1,1,0,Low Risk
1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5215.25,0,5338.2,84.11693548387096,7,1,1,1,1,0,Low Risk
0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,113.5,0,118.2,18.916666666666668,1,3,0,3,0,1,Medium Risk
0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,1152.8,0,1132.6,82.34285714285714,2,3,0,0,1,2,High Risk
0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1821.95,0,1851.3,82.81590909090909,3,3,0,0,1,2,High Risk
1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,419.9,0,443.3,19.08636363636364,1,2,0,0,0,1,Medium Risk
1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0,0,1028.0,64.0,4,1,0,0,0,1,Medium Risk
1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6,0,257.0,25.16,2,1,0,3,0,1,Medium Risk
0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,764.55,0,728.0,58.81153846153846,3,3,1,0,0,1,Medium Risk
0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35,1,1648.0,79.61749999999999,3,3,1,0,1,2,High Risk
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2,0,139.4,67.6,1,3,1,3,1,2,High Risk
1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25,0,3916.7,74.68396226415095,6,1,0,1,1,0,Low Risk
0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,233.9,0,226.6,21.263636363636365,1,2,0,3,0,1,Medium Risk
1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,1363.45,0,1373.1,19.76014492753623,1,1,0,1,0,1,Medium Risk
0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0,1,283.6,68.25,1,3,0,3,1,2,High Risk
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,6254.45,0,6411.599999999999,86.86736111111111,8,1,0,1,1,0,Low Risk
1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2,1,2627.4,45.710344827586205,3,3,1,1,0,1,Medium Risk
0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,321.4,0,326.4,20.0875,1,3,1,0,0,1,Medium Risk
1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3539.25,0,3622.75,82.30813953488372,4,2,0,2,1,0,Low Risk
0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8,1,208.8,121.4,6,3,1,3,1,2,High Risk
1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75,0,1147.3,84.41071428571429,6,1,0,0,1,2,High Risk
0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2,1,5027.049999999999,94.3433962264151,4,2,0,1,1,0,Low Risk
0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,654.55,0,657.6,20.4546875,1,2,0,2,0,1,Medium Risk
0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,780.2,0,839.8,22.947058823529414,2,3,1,2,0,1,Medium Risk
0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7,1,1116.75,76.38000000000001,2,3,0,0,1,2,High Risk
0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6,1,535.15,71.94285714285715,2,3,0,3,1,2,High Risk
0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1559.25,0,1580.25,103.95,6,3,0,0,1,2,High Risk
1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1252.0,0,1253.55,20.524590163934427,1,2,0,1,0,1,Medium Risk
0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95,1,29.95,29.95,1,3,0,3,0,1,Medium Risk
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,45.3,0,45.3,45.3,1,3,0,3,0,1,Medium Risk
1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65,1,676.0,82.83125,3,3,0,3,1,2,High Risk
